"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Chaplin School District","=""0240011""","Total","$4,486,806",167,1,"$26,867"
"Cheshire School District","=""0250011""","Instruction","$54,321,442",4264,1,"$12,740"
"Cheshire School District","=""0250011""","Support services - students","$7,428,793",4211,2,"$1,764"
"Cheshire School District","=""0250011""","Support services - instruction","$3,421,398",4211,2,"$812"
"Cheshire School District","=""0250011""","Support services - general administration","$1,118,474",4211,2,"$266"
"Cheshire School District","=""0250011""","Support services - school based administration","$4,300,954",4211,2,"$1,021"
"Cheshire School District","=""0250011""","Central and other support services","$2,480,209",4211,2,"$589"
"Cheshire School District","=""0250011""","Operation and maintenance of plant","$8,373,064",4211,2,"$1,988"
"Cheshire School District","=""0250011""","Student transportation services","$4,766,430",3363,3,"$1,417"
"Cheshire School District","=""0250011""","Food services","$0",4211,2,"$0"
"Cheshire School District","=""0250011""","Enterprise operations","$1,264,432",4211,2,"$300"
"Cheshire School District","=""0250011""","Minor school construction","N/A","N/A","N/A","N/A"
"Cheshire School District","=""0250011""","Total","$87,475,196",4264,1,"$20,515"
"Chester School District","=""0260011""","Instruction","$3,670,636",219,1,"$16,761"
"Chester School District","=""0260011""","Support services - students","$426,296",207,2,"$2,059"
"Chester School District","=""0260011""","Support services - instruction","$125,666",207,2,"$607"
"Chester School District","=""0260011""","Support services - general administration","$376,227",207,2,"$1,818"
"Chester School District","=""0260011""","Support services - school based administration","$467,430",207,2,"$2,258"
"Chester School District","=""0260011""","Central and other support services","$79,586",207,2,"$384"
"Chester School District","=""0260011""","Operation and maintenance of plant","$519,073",207,2,"$2,508"
"Chester School District","=""0260011""","Student transportation services","$228,825",212,3,"$1,079"
"Chester School District","=""0260011""","Food services","$55,217",207,2,"$267"
"Chester School District","=""0260011""","Enterprise operations","$0",207,2,"$0"
"Chester School District","=""0260011""","Minor school construction","N/A","N/A","N/A","N/A"
"Chester School District","=""0260011""","Total","$5,948,955",219,1,"$27,164"
"Clinton School District","=""0270011""","Instruction","$22,871,191",1481,1,"$15,443"
"Clinton School District","=""0270011""","Support services - students","$3,312,075",1454,2,"$2,278"
"Clinton School District","=""0270011""","Support services - instruction","$835,782",1454,2,"$575"
"Clinton School District","=""0270011""","Support services - general administration","$2,373,851",1454,2,"$1,633"
"Clinton School District","=""0270011""","Support services - school based administration","$1,506,819",1454,2,"$1,036"
"Clinton School District","=""0270011""","Central and other support services","$1,640,547",1454,2,"$1,128"
"Clinton School District","=""0270011""","Operation and maintenance of plant","$2,339,364",1454,2,"$1,609"
"Clinton School District","=""0270011""","Student transportation services","$2,013,285",1195,3,"$1,685"
"Clinton School District","=""0270011""","Food services","$0",1454,2,"$0"
"Clinton School District","=""0270011""","Enterprise operations","$0",1454,2,"$0"
"Clinton School District","=""0270011""","Minor school construction","N/A","N/A","N/A","N/A"
"Clinton School District","=""0270011""","Total","$36,892,915",1481,1,"$24,911"
"Colchester School District","=""0280011""","Instruction","$27,655,797",2210,1,"$12,514"
"Colchester School District","=""0280011""","Support services - students","$3,502,510",2149,2,"$1,630"
"Colchester School District","=""0280011""","Support services - instruction","$795,506",2149,2,"$370"
"Colchester School District","=""0280011""","Support services - general administration","$2,345,060",2149,2,"$1,091"
"Colchester School District","=""0280011""","Support services - school based administration","$2,720,766",2149,2,"$1,266"
"Colchester School District","=""0280011""","Central and other support services","$1,485,852",2149,2,"$691"
"Colchester School District","=""0280011""","Operation and maintenance of plant","$4,574,524",2149,2,"$2,129"
"Colchester School District","=""0280011""","Student transportation services","$3,065,459",2175,3,"$1,409"
"Colchester School District","=""0280011""","Food services","$0",2149,2,"$0"
"Colchester School District","=""0280011""","Enterprise operations","$741,812",2149,2,"$345"
"Colchester School District","=""0280011""","Minor school construction","N/A","N/A","N/A","N/A"
"Colchester School District","=""0280011""","Total","$46,887,286",2210,1,"$21,216"
"Colebrook School District","=""0290011""","Instruction","$1,493,397",71,1,"$21,034"
"Colebrook School District","=""0290011""","Support services - students","$73,349",66,2,"$1,111"
"Colebrook School District","=""0290011""","Support services - instruction","$43,663",66,2,"$662"
"Colebrook School District","=""0290011""","Support services - general administration","$152,500",66,2,"$2,311"
"Colebrook School District","=""0290011""","Support services - school based administration","$156,294",66,2,"$2,368"
"Colebrook School District","=""0290011""","Central and other support services","$92,100",66,2,"$1,395"
"Colebrook School District","=""0290011""","Operation and maintenance of plant","$274,766",66,2,"$4,163"
"Colebrook School District","=""0290011""","Student transportation services","$128,908",74,3,"$1,742"
"Colebrook School District","=""0290011""","Food services","$11,376",66,2,"$172"
"Colebrook School District","=""0290011""","Enterprise operations","$0",66,2,"$0"
"Colebrook School District","=""0290011""","Minor school construction","N/A","N/A","N/A","N/A"
"Colebrook School District","=""0290011""","Total","$2,426,353",71,1,"$34,174"
"Columbia School District","=""0300011""","Instruction","$7,919,910",651,1,"$12,166"
"Columbia School District","=""0300011""","Support services - students","$2,539,665",475,2,"$5,347"
"Columbia School District","=""0300011""","Support services - instruction","$132,386",475,2,"$279"
"Columbia School District","=""0300011""","Support services - general administration","$681,815",475,2,"$1,435"
"Columbia School District","=""0300011""","Support services - school based administration","$546,151",475,2,"$1,150"
"Columbia School District","=""0300011""","Central and other support services","$197,578",475,2,"$416"
"Columbia School District","=""0300011""","Operation and maintenance of plant","$715,787",475,2,"$1,507"
"Columbia School District","=""0300011""","Student transportation services","$893,731",674,3,"$1,326"
"Columbia School District","=""0300011""","Food services","$0",475,2,"$0"
"Columbia School District","=""0300011""","Enterprise operations","$434,419",475,2,"$915"
"Columbia School District","=""0300011""","Minor school construction","N/A","N/A","N/A","N/A"
"Columbia School District","=""0300011""","Total","$14,061,442",651,1,"$21,600"
"Common Ground High School District","=""2680013""","Instruction","$1,990,309",223,1,"$8,925"
"Common Ground High School District","=""2680013""","Support services - students","$1,692,887",223,2,"$7,591"
"Common Ground High School District","=""2680013""","Support services - instruction","$152,440",223,2,"$684"
"Common Ground High School District","=""2680013""","Support services - general administration","$291,858",223,2,"$1,309"
"Common Ground High School District","=""2680013""","Support services - school based administration","$649,870",223,2,"$2,914"
"Common Ground High School District","=""2680013""","Central and other support services","$0",223,2,"$0"
"Common Ground High School District","=""2680013""","Operation and maintenance of plant","$459,128",223,2,"$2,059"
"Common Ground High School District","=""2680013""","Student transportation services","$18,754",223,3,"$84"
"Common Ground High School District","=""2680013""","Food services","$0",223,2,"$0"
"Common Ground High School District","=""2680013""","Enterprise operations","$0",223,2,"$0"
"Common Ground High School District","=""2680013""","Minor school construction","N/A","N/A","N/A","N/A"
"Common Ground High School District","=""2680013""","Total","$5,255,244",223,1,"$23,566"
"Connecticut Technical Education and Career System","=""9000016""","Instruction","$184,725,938",11259,1,"$16,407"
"Connecticut Technical Education and Career System","=""9000016""","Support services - students","$37,499,180",11259,2,"$3,331"
"Connecticut Technical Education and Career System","=""9000016""","Support services - instruction","$4,883,451",11259,2,"$434"
"Connecticut Technical Education and Career System","=""9000016""","Support services - general administration","$25,422,469",11259,2,"$2,258"
"Connecticut Technical Education and Career System","=""9000016""","Support services - school based administration","$27,915,195",11259,2,"$2,479"
"Connecticut Technical Education and Career System","=""9000016""","Central and other support services","$1,531,753",11259,2,"$136"
"Connecticut Technical Education and Career System","=""9000016""","Operation and maintenance of plant","$38,813,799",11259,2,"$3,447"
"Connecticut Technical Education and Career System","=""9000016""","Student transportation services","$6,621,337",99,3,"$66,882"
"Connecticut Technical Education and Career System","=""9000016""","Food services","$0",11259,2,"$0"
"Connecticut Technical Education and Career System","=""9000016""","Enterprise operations","$6,479,270",11259,2,"$575"
"Connecticut Technical Education and Career System","=""9000016""","Minor school construction","N/A","N/A","N/A","N/A"
"Connecticut Technical Education and Career System","=""9000016""","Total","$333,892,393",11259,1,"$29,656"
"Cooperative Educational Services","=""2430014""","Instruction","$32,685,995",1014,1,"$32,235"
"Cooperative Educational Services","=""2430014""","Support services - students","$1,633,687",1014,2,"$1,611"
"Cooperative Educational Services","=""2430014""","Support services - instruction","$275,622",1014,2,"$272"
"Cooperative Educational Services","=""2430014""","Support services - general administration","$1,660,120",1014,2,"$1,637"
"Cooperative Educational Services","=""2430014""","Support services - school based administration","$1,647,182",1014,2,"$1,624"
"Cooperative Educational Services","=""2430014""","Central and other support services","$583,647",1014,2,"$576"
"Cooperative Educational Services","=""2430014""","Operation and maintenance of plant","$254,042",1014,2,"$251"
"Cooperative Educational Services","=""2430014""","Student transportation services","$180,240",157,3,"$1,148"
"Cooperative Educational Services","=""2430014""","Food services","$0",1014,2,"$0"
